This is sort by Life Expectancyfor the year 2000.
('Belize', 71.3, 7240.0)
('Estonia', 71.3, 17900.0)
('Cape Verde', 71.7, 4050.0)
('St. Vincent and the Grenadines', 71.7, 8160.0)
('Seychelles', 71.9, 17700.0)
('Vietnam', 71.9, 2850.0)
('Samoa', 72.0, 4780.0)
('Brazil', 72.1, 11600.0)
('United Arab Emirates', 72.1, 96700.0)
('Bulgaria', 72.2, 10100.0)
('Lithuania', 72.2, 14100.0)
('Bahamas', 72.4, 33700.0)
('Georgia', 72.4, 4000.0)
('Mauritius', 72.4, 11700.0)
('Hungary', 72.5, 19600.0)
('Serbia', 72.5, 8950.0)
('Armenia', 72.7, 3670.0)
('China', 73.0, 4300.0)
('Thailand', 73.0, 9920.0)
('El Salvador', 73.1, 5680.0)
('Colombia', 73.3, 8500.0)
('Jordan', 73.4, 7750.0)
('Libya', 73.4, 20700.0)
('Malaysia', 73.4, 16500.0)
('Sri Lanka', 73.6, 5590.0)
('Syria', 73.6, 5420.0)
('Oman', 73.7, 44100.0)
('Iran', 73.8, 14000.0)
('Maldives', 73.8, 9590.0)
('North Macedonia', 73.9, 8420.0)
('Slovak Republic', 73.9, 16900.0)
('Dominica', 74.0, 7970.0)
('Venezuela', 74.0, 13300.0)
('Dominican Republic', 74.1, 8620.0)
('St. Lucia', 74.1, 10200.0)
('Argentina', 74.2, 12500.0)
('Bahrain', 74.2, 43100.0)
('Brunei', 74.2, 84100.0)
('Grenada', 74.2, 9590.0)
('Montenegro', 74.2, 10600.0)
('Ecuador', 74.3, 7690.0)
('Algeria', 74.5, 10900.0)
('Poland', 74.7, 15200.0)
('Saudi Arabia', 74.7, 39400.0)
('Tunisia', 74.8, 7830.0)
('Croatia', 74.9, 17600.0)
('Paraguay', 74.9, 7620.0)
('Uruguay', 74.9, 11400.0)
('Jamaica', 75.0, 8090.0)
('Mexico', 75.0, 15600.0)
('Nicaragua', 75.1, 3440.0)
('Antigua and Barbuda', 75.2, 19400.0)
('Albania', 75.3, 6240.0)
('Barbados', 75.3, 15000.0)
('Turkey', 75.4, 13500.0)
('Bosnia and Herzegovina', 75.5, 6970.0)
('Czech Republic', 75.5, 22300.0)
('Qatar', 75.5, 111000.0)
('Lebanon', 75.9, 10500.0)
('Peru', 76.0, 6660.0)
('Slovenia', 76.5, 24200.0)
('United States', 77.0, 46000.0)
('Cyprus', 77.2, 31000.0)
('Denmark', 77.2, 42600.0)
('South Korea', 77.2, 23000.0)
('Chile', 77.3, 14800.0)
('Portugal', 77.3, 26400.0)
('Ireland', 77.7, 42500.0)
('Cuba', 77.8, 5130.0)
('Panama', 77.8, 10500.0)
('Belgium', 78.3, 37900.0)
('Costa Rica', 78.3, 10100.0)
('United Kingdom', 78.3, 34700.0)
('Luxembourg', 78.4, 85000.0)
('Netherlands', 78.4, 42500.0)
('Finland', 78.5, 36200.0)
('Germany', 78.7, 37300.0)
('Israel', 78.7, 25700.0)
('New Zealand', 78.7, 29700.0)
('Austria', 78.9, 39600.0)
('Malta', 79.0, 25100.0)
('Norway', 79.0, 59500.0)
('Greece', 79.2, 26600.0)
('France', 79.4, 35300.0)
('Kuwait', 79.4, 69600.0)
('Canada', 79.6, 38500.0)
('Spain', 79.8, 31400.0)
('Singapore', 80.0, 51900.0)
('Sweden', 80.0, 38000.0)
('Italy', 80.1, 37200.0)
('Australia', 80.2, 36600.0)
('Switzerland', 80.7, 50800.0)
('Iceland', 80.8, 35800.0)
('Andorra', 81.6, 31900.0)
('Japan', 82.0, 33900.0)

This is sort by Life Expectancyfor the year 2003.
('Eswatini', 44.5, 6640.0)
('Central African Republic', 44.7, 817.0)
('Zimbabwe', 45.4, 2240.0)
('Lesotho', 45.6, 1800.0)
('Malawi', 46.0, 839.0)
('Burundi', 47.5, 698.0)
('Zambia', 47.6, 2320.0)
('Mozambique', 50.6, 686.0)
('Botswana', 51.4, 11300.0)
('Uganda', 51.5, 1180.0)
('Sierra Leone', 51.8, 1040.0)
('Chad', 52.6, 1230.0)
('Namibia', 52.6, 6900.0)
('South Africa', 52.8, 10200.0)
('Guinea-Bissau', 52.9, 1340.0)
("Cote d'Ivoire", 53.3, 2710.0)
('Somalia', 53.7, 611.0)
('Rwanda', 53.8, 935.0)
('Burkina Faso', 54.0, 1180.0)
